id	parent	source	locator	kind	obligation
P-ABSTRACT	SCOPE-INTRO	main	p1-2 abstract/sections 1-2; ABSTRACT	context	Locate contributions, empirical strength and claimed two-player zero-sum scope; not proof evidence.
P-INTRO	SCOPE-INTRO	main	p1-2 abstract/sections 1-2; INTRO	context	Index strategy-dependent leaf values and motivation for search plus learning.
P-RELATED	SCOPE-INTRO	main	p1-2 abstract/sections 1-2; RELATED	context	Index related-work comparisons; cited results enter proof scope only if used.
P-FIG1A	FOUND-MODEL	main	p1-2 abstract/sections 1-2; FIG1A	definition	Specify modified rock-paper-scissors payoffs and hidden information from Figure 1a.
P-FIG1B	PBS-PERFECT	main	p1-2 abstract/sections 1-2; FIG1B	definition	Specify the public-belief one-ply example of Figure 1b and its contrast with fixed state values.
P-WORLD	FOUND-MODEL	main	p3 section 3; WORLD	definition	World states W, initial w0, terminal states and player set N.
P-ACTION	FOUND-MODEL	main	p3 section 3; ACTION	definition	Player actions, joint actions and state-dependent legal sets.
P-TRANSITION	FOUND-MODEL	main	p3 section 3; TRANSITION	definition	Stochastic transition tau and its legal-action domain.
P-OBSERVATION	FOUND-MODEL	main	p3 section 3; OBSERVATION	definition	Private and public observation maps and timing relative to transition.
P-HISTORY	FOUND-HISTORY	main	p3 section 3; HISTORY	definition	World/action history, prefixes, terminal histories and induced transition on histories.
P-AOH	FOUND-INFO	main	p3 section 3; AOH	definition	Action-observation history si; distinguish full recall from compressed implementations.
P-INFOSET	FOUND-INFO	main	p3 section 3; INFOSET	definition	Information-state fiber as compatible histories; equality and legal choices.
P-PERFECT-INFO	FOUND-INFO	main	p3 section 3; PERFECT-INFO	definition	Perfect-information singleton knowledge versus imperfect-information fibers.
P-REWARD	FOUND-REWARD	main	p3-4 section 3; REWARD	definition	Per-player rewards and cumulative expected return convention.
P-ZERO-SUM	FOUND-REWARD	main	p3-4 section 3; ZERO-SUM	definition	Two players and zero-sum return assumption; finite horizon is a later explicit restriction.
P-POLICY	FOUND-POLICY	main	p3 section 3; POLICY	definition	Behavioral policy pi_i at an information state and policy profile pi.
P-POLICY-VALUE	FOUND-POLICY	main	p3 section 3; POLICY-VALUE	definition	Expected value for a fixed policy and best-response maximization.
P-BEST-RESPONSE	FOUND-NASH	main	p3-4 section 3; BEST-RESPONSE	definition	Legal unilateral deviations and exact best response.
P-NASH	FOUND-NASH	main	p3-4 section 3; NASH	definition	Nash and epsilon-Nash inequalities and units.
P-EQ-VALUE-UNIQUE	FOUND-NASH	main	p3-4 section 3; EQ-VALUE-UNIQUE	definition	Uniqueness of equilibrium value in the specified two-player zero-sum domain.
P-PUBLIC-HISTORY	PUBLIC-STATE	main	p3 section 3; PUBLIC-HISTORY	definition	Public-observation history spub; common knowledge versus available public signal.
P-PUBLIC-FIBER	PUBLIC-STATE	main	p3 section 3; PUBLIC-FIBER	definition	Public state as compatible-history fiber, including dice cardinality example.
P-PUBLIC-SUBGAME	PBS-SUBGAME	main	p3-5 sections 3-4; PUBLIC-SUBGAME	definition	Imperfect-information subgame closure and public-root convention.
P-DEPTH-SUBGAME	PBS-SUBGAME	main	p3-5 sections 3-4; DEPTH-SUBGAME	definition	Depth-limited subgame, leaves and distinction from original terminal histories.
P-PBS-ROOT-SUBGAME	PBS-SUBGAME	main	p3-5 sections 3-4; PBS-ROOT-SUBGAME	definition	Belief-representation subgame rooted at a public belief; root chance law.
P-PBS-JOINT	PBS-LAW	main	p4 section 4; PBS-JOINT	definition	PBS beta is a joint law compatible with the public history, not arbitrary product marginals.
P-PBS-REFEREE	PBS-LAW	main	p4 section 4; PBS-REFEREE	definition	Referee representation and publicly observed policy prescriptions.
P-PBS-MARGINAL	PBS-ENCODING	main	p4 section 4; PBS-MARGINAL	claim	Per-player infostate-law representation requires a separate correlation/reach-factor bridge.
P-PBS-COMPACT	PBS-ENCODING	main	p4 section 4; PBS-COMPACT	claim	Size/compression claims and compatibility with public history.
P-PBS-LD-COMPACT	PBS-ENCODING	main	p4 section 4; PBS-LD-COMPACT	claim	Compact dice belief representation and its cardinality assumptions.
P-BAYES-PBS	PBS-UPDATE	main	p4 section 4; BAYES-PBS	definition	Bayes update T(beta,pi,a), public observation, support and zero denominator.
P-BELIEF-EQUIVALENCE	PBS-EQUIVALENCE	main	p4 section 4; BELIEF-EQUIVALENCE	claim	Strategic equivalence of original and belief games must preserve unilateral deviations.
P-BELIEF-PERFECT	PBS-PERFECT	main	p4 section 4; BELIEF-PERFECT	claim	Perfect-information representation and original perfect-information degeneration.
P-PBS-EXPECTED	PBS-EV	main	p5 section 4; PBS-EXPECTED	definition	V_i^pi(beta) as expectation over compatible histories.
P-PBS-EQUILIBRIUM	PBS-EV	main	p5 section 4; PBS-EQUILIBRIUM	definition	V_i(beta) as common equilibrium value; existence needed.
P-PBS-CONCAVE	PBS-EV	main	p5 section 4; PBS-CONCAVE	definition	Concavity on own-belief simplex with fixed opponent belief; admissible domain.
P-TYPE-CF-VALUE	PBS-INFOVALUE	main	p5 section 4; TYPE-CF-VALUE	definition	Infostate value uses best response and opponent reach, including own-zero-probability types.
P-TYPE-EQUILIBRIUM	PBS-INFOVALUE	main	p5 section 4; TYPE-EQUILIBRIUM	definition	Choice of an equilibrium opponent and nonuniqueness of type-value vectors.
P-SEARCH-SETUP	SEARCH-FRONTIER	main	p5-6 sections 5-5.1; SEARCH-SETUP	definition	Finite-depth subgame choice and conversion between discrete and belief representations.
P-SEARCH-LEAF	SEARCH-FRONTIER	main	p5-6 sections 5-5.1; SEARCH-LEAF	definition	A cut leaf requires an oracle but an original terminal leaf has actual utility.
P-CFRD-ITERATION	SEARCH-CFRD	main	p6 section 5.1; CFRD-ITERATION	claim	Each iteration recomputes leaf PBS and infostate values from current policy.
P-CFRD-TARGET	SEARCH-CFRD	main	p6 section 5.1; CFRD-TARGET	claim	Store vector of infostate root values, not just scalar expected root value.
P-CFRD-AVERAGE	SEARCH-CFRD	main	p6 section 5.1; CFRD-AVERAGE	claim	Uniform average of iterative value targets and convergence of average, not final, policy.
P-SELFPLAY-RECURSE	RL-MEMORY	main	p6-7 section 5.2; SELFPLAY-RECURSE	definition	Solve root, add data, sample new leaf and recur until actual terminal state.
P-MEMORIZER	RL-MEMORY	main	p6-7 section 5.2; MEMORIZER	definition	Ideal learner returns the most recent target; not an arbitrary trained neural network.
P-EXPLORATION	RL-MEMORY	main	p6-7 section 5.2; EXPLORATION	definition	Explore one selected player uniformly; distinguish data-path law and unperturbed PBS.
P-INFINITE-TRAINING	RL-MEMORY	main	p6-7 section 5.2; INFINITE-TRAINING	definition	Separate number of training samples N from iterations T and game depth.
P-ITERATION-RANDOM	ALG-SAMPLE	main	p6-7 section 5.2; ITERATION-RANDOM	definition	Uniform iteration 0..T-1 in prose versus warm-offset pseudocode.
P-EXPLORATION-NEEDED	ALG-SAMPLE	main	p6-7 section 5.2; EXPLORATION-NEEDED	definition	Positive exploratory reach for strategically relevant off-path private states.
P-POLICY-OPTIONAL	NN-POLICY	main	p7 section 5.3; POLICY-OPTIONAL	claim	Policy network is optional for theory and stores average-policy targets.
P-WARM-PROSE	VAR-WARMSTART	main	p7 section 5.3; WARM-PROSE	claim	Policy prediction used for initialized average policy and regret warm start.
P-UNSAFE-RESOLVE	SAFE-THEOREM3	main	p7-8 section 6; UNSAFE-RESOLVE	claim	Near-equilibrium opponent does not make arbitrary best-response re-solving safe.
P-UNSAFE-RPS	SAFE-THEOREM3	main	p7-8 section 6; UNSAFE-RPS	claim	Audit numeric RPS example 0.4001,0.3999,0.2 and exploitable pure reply.
P-RANDOM-POLICY	SAFE-THEOREM3	main	p7-8 section 6; RANDOM-POLICY	claim	Test-time randomly selected iteration; expectation over a whole policy is not each realization.
P-UNKNOWN-OPPONENT	SAFE-THEOREM3	main	p7-8 section 6; UNKNOWN-OPPONENT	claim	Own guaranteed payoff against arbitrary legal opponent is distinct from mutual Nash profile.
P-EXPLOITABILITY	EVAL-METRIC	main	p8 section 7; EXPLOITABILITY	definition	Average best-response utility over players, with zero-sum and normalization assumptions.
P-EXPERIMENT-SOLVERS	VAR-WEIGHTED	main	p8 section 7; EXPERIMENT-SOLVERS	setting	Alternating linear CFR and FLOP are distinct from vanilla CFR-D assumptions.
P-ACTION-NINE	GAME-ABSTRACTION	main	p8 section 7; ACTION-NINE	setting	Main text maximum nine actions; compare supplement maximum eight, do not silently reconcile.
P-ABSTRACTION-RANDOM	GAME-ABSTRACTION	main	p8 section 7; ABSTRACTION-RANDOM	setting	Random stack/bet perturbations and no information abstraction.
P-MLP	NN-VALUE	main	p8 section 7; MLP	setting	Multilayer perceptron with GeLU and LayerNorm; architecture depends on game.
P-LOSSES	NN-LOSS	main	p8 section 7; LOSSES	setting	Pointwise Huber for values versus MSE for policies; inspect exact implementation scaling.
P-ADAM	NN-OPTIMIZER	main	p8 section 7; ADAM	setting	Adam optimizer; update correctness does not entail oracle-error bound.
P-PARALLEL	NN-CONCURRENT	main	p8 section 7; PARALLEL	setting	PyTorch training and parallel data generation require a staleness/snapshot contract.
P-RESULTS	EVAL-REPRO	main	p8-9 section 8; RESULTS	experiment	Index comparisons to human and AI baselines without treating observed scores as theorem truth.
P-FIG2	EVAL-REPRO	main	p8-9 section 8; FIG2	experiment	TEH Figure 2: axes, iteration counts, compared variants and error interpretation.
